Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Uwe Blab,DAL,1,10.0,3,1,1,1.000,0,0,.000,1,4,.250,1,2,3,0,1,1,2,4,NBA 1986-1987 Playoffs Players Statistic
Larry Bird,BOS,23,"1,015.0",622,216,454,.476,14,41,.341,176,193,.912,41,190,231,165,27,19,71,55,NBA 1986-1987 Playoffs Players Statistic
Kent Benson,UTA,2,3.0,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,1,0,NBA 1986-1987 Playoffs Players Statistic
John Battle,ATL,8,78.0,53,15,34,.441,2,5,.400,21,23,.913,2,8,10,8,1,0,7,13,NBA 1986-1987 Playoffs Players Statistic
Charles Barkley,PHI,5,210.0,123,43,75,.573,1,8,.125,36,45,.800,27,36,63,12,4,8,22,21,NBA 1986-1987 Playoffs Players Statistic
Gene Banks,CHI,3,79.0,31,13,22,.591,0,0,.000,5,8,.625,3,5,8,2,0,0,2,13,NBA 1986-1987 Playoffs Players Statistic
Greg Ballard,GSW,10,179.0,59,26,48,.542,4,10,.400,3,4,.750,18,22,40,19,8,0,9,16,NBA 1986-1987 Playoffs Players Statistic
Thurl Bailey,UTA,5,151.0,78,30,63,.476,0,0,.000,18,18,1.000,14,16,30,9,3,6,12,12,NBA 1986-1987 Playoffs Players Statistic
Ron Anderson,IND,4,24.0,4,2,4,.500,0,0,.000,0,0,.000,2,1,3,0,0,0,0,2,NBA 1986-1987 Playoffs Players Statistic
Richard Anderson,HOU,5,5.0,5,1,3,.333,1,2,.500,2,2,1.000,1,0,1,0,0,0,1,1,NBA 1986-1987 Playoffs Players Statistic
Mark Alarie,DEN,3,41.0,20,9,15,.600,0,0,.000,2,2,1.000,0,5,5,1,2,2,4,9,NBA 1986-1987 Playoffs Players Statistic
Danny Ainge,BOS,20,760.0,295,116,238,.487,32,75,.427,31,36,.861,13,39,52,92,24,4,41,62,NBA 1986-1987 Playoffs Players Statistic
Mark Aguirre,DAL,4,130.0,85,31,62,.500,0,4,.000,23,30,.767,11,13,24,8,8,0,9,15,NBA 1986-1987 Playoffs Players Statistic
Michael Adams,WAS,3,82.0,19,8,25,.320,2,9,.222,1,3,.333,0,7,7,10,7,0,5,6,NBA 1986-1987 Playoffs Players Statistic
Kareem Abdul-Jabbar,LAL,18,559.0,345,124,234,.530,0,1,.000,97,122,.795,39,84,123,36,8,35,40,56,NBA 1986-1987 Playoffs Players Statistic
