Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Butch Beard,NYK,70,"1,082.0",371,148,293,.505,-,-,-,75,109,.688,50,113,163,144,57,5,-,137,NBA 1976-1977 Regular_Season Players Statistic
Tim Bassett,NYN,76,"2,442.0",687,293,739,.396,-,-,-,101,177,.571,175,466,641,109,95,53,-,246,NBA 1976-1977 Regular_Season Players Statistic
Rick Barry,GSW,79,"2,904.0","1,723",682,"1,551",.440,-,-,-,359,392,.916,73,349,422,475,172,58,-,194,NBA 1976-1977 Regular_Season Players Statistic
Mike Barr,KCK,73,"1,224.0",285,122,279,.437,-,-,-,41,57,.719,33,97,130,175,52,18,-,96,NBA 1976-1977 Regular_Season Players Statistic
Norton Barnhill,SEA,4,10.0,4,2,6,.333,-,-,-,0,0,.000,2,1,3,1,0,0,-,5,NBA 1976-1977 Regular_Season Players Statistic
Jim Barnett,PHI,16,231.0,66,28,64,.438,-,-,-,10,18,.556,7,7,14,23,4,0,-,28,NBA 1976-1977 Regular_Season Players Statistic
Marvin Barnes,DET,53,989.0,510,202,452,.447,-,-,-,106,156,.679,69,184,253,45,38,33,-,139,NBA 1976-1977 Regular_Season Players Statistic
Tom Barker,ATL,59,"1,354.0",476,182,436,.417,-,-,-,112,164,.683,111,290,401,60,33,41,-,223,NBA 1976-1977 Regular_Season Players Statistic
Mike Bantom,NYN,77,"1,909.0",946,361,755,.478,-,-,-,224,310,.723,184,287,471,102,63,49,-,233,NBA 1976-1977 Regular_Season Players Statistic
Dennis Awtrey,PHX,72,"1,760.0",411,160,373,.429,-,-,-,91,126,.722,111,245,356,182,23,31,-,170,NBA 1976-1977 Regular_Season Players Statistic
Bird Averitt,BUF,75,"1,136.0",589,234,619,.378,-,-,-,121,169,.716,20,58,78,134,30,5,-,127,NBA 1976-1977 Regular_Season Players Statistic
Jim Ard,BOS,63,969.0,241,96,254,.378,-,-,-,49,76,.645,77,219,296,53,18,28,-,128,NBA 1976-1977 Regular_Season Players Statistic
Tiny Archibald,NYN,34,"1,277.0",697,250,560,.446,-,-,-,197,251,.785,22,58,80,254,59,11,-,77,NBA 1976-1977 Regular_Season Players Statistic
Jerome Anderson,IND,27,164.0,66,26,59,.441,-,-,-,14,20,.700,9,3,12,10,6,2,-,26,NBA 1976-1977 Regular_Season Players Statistic
Lucius Allen,LAL,78,"2,482.0","1,139",472,"1,035",.456,-,-,-,195,252,.774,58,193,251,405,116,19,-,183,NBA 1976-1977 Regular_Season Players Statistic
Don Adams,BUF,77,"1,710.0",561,216,526,.411,-,-,-,129,173,.746,130,241,371,150,74,16,-,201,NBA 1976-1977 Regular_Season Players Statistic
Alvan Adams,PHX,72,"2,278.0","1,296",522,"1,102",.474,-,-,-,252,334,.754,180,472,652,322,95,87,-,260,NBA 1976-1977 Regular_Season Players Statistic
Tom Abernethy,LAL,70,"1,378.0",439,169,349,.484,-,-,-,101,134,.754,113,178,291,98,49,10,-,118,NBA 1976-1977 Regular_Season Players Statistic
Kareem Abdul-Jabbar,LAL,82,"3,016.0","2,152",888,"1,533",.579,-,-,-,376,536,.701,266,824,"1,090",319,101,261,-,262,NBA 1976-1977 Regular_Season Players Statistic
Zaid Abdul-Aziz,BUF,22,195.0,83,25,74,.338,-,-,-,33,43,.767,41,49,90,7,3,9,-,21,NBA 1976-1977 Regular_Season Players Statistic
