Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Michael Brooks,F,2.0065999999999997,99.79032140000001,22,SDC,82,0,United States,NBA 1980-1981 Players Information
Fred Brown,G,1.905,82.55381134000001,32,SEA,78,9,United States,NBA 1980-1981 Players Information
Lewis Brown,C,2.1082,102.05828325,26,WAS,2,0,United States,NBA 1980-1981 Players Information
Rickey Brown,FC,2.0827999999999998,97.52235955,22,GSW,43,0,United States,NBA 1980-1981 Players Information
Joe Bryant,PF,2.0574,83.91458845000001,26,SDC,82,5,United States,NBA 1980-1981 Players Information
Quinn Buckner,G,1.905,86.1825503,26,MIL,82,4,United States,NBA 1980-1981 Players Information
Tom Burleson,C,2.1844,102.05828325,29,ATL,31,6,United States,NBA 1980-1981 Players Information
Don Buse,G,1.9304,86.1825503,30,IND,57,4,United States,NBA 1980-1981 Players Information
Marty Byrnes,SF,2.0065999999999997,97.52235955,24,DAL,71,2,United States,NBA 1980-1981 Players Information
Mack Calvin,PG,1.8288,74.84274105,33,CLE,21,3,United States,NBA 1980-1981 Players Information
Austin Carr,G,1.9304,90.718474,32,"DAL, WAS",47,9,United States,NBA 1980-1981 Players Information
Kenny Carr,GF,2.0065999999999997,99.79032140000001,25,CLE,81,3,United States,NBA 1980-1981 Players Information
M.L. Carr,GF,1.9811999999999999,92.98643585,30,BOS,41,6,United States,NBA 1980-1981 Players Information
Joe Barry Carroll,FC,2.1336,102.05828325,22,GSW,82,0,United States,NBA 1980-1981 Players Information
Butch Carter,G,1.9558,81.6466266,22,LAL,54,0,United States,NBA 1980-1981 Players Information
Reggie Carter,SG,1.905,79.37866475,23,NYK,60,0,United States,NBA 1980-1981 Players Information
Bill Cartwright,C,2.159,111.13013065000001,23,NYK,82,1,United States,NBA 1980-1981 Players Information
Harvey Catchings,FC,2.0574,98.88313666,29,MIL,77,6,United States,NBA 1980-1981 Players Information
Mo Cheeks,PG,1.8541999999999998,81.6466266,24,PHI,81,2,United States,NBA 1980-1981 Players Information
Phil Chenier,PG,1.905,81.6466266,30,GSW,8,9,United States,NBA 1980-1981 Players Information
Jim Chones,FC,2.1082,99.79032140000001,31,LAL,82,6,United States,NBA 1980-1981 Players Information
Art Collins,SG,1.9304,83.91458845000001,26,ATL,29,2,United States,NBA 1980-1981 Players Information
Don Collins,GF,1.9811999999999999,86.1825503,22,"ATL, WAS",81,0,United States,NBA 1980-1981 Players Information
Doug Collins,GF,1.9811999999999999,81.6466266,29,PHI,12,7,United States,NBA 1980-1981 Players Information
Darwin Cook,G,1.905,83.46099608,22,NJN,81,0,United States,NBA 1980-1981 Players Information
Jeff Cook,FC,2.0827999999999998,97.52235955,24,PHX,79,2,United States,NBA 1980-1981 Players Information
Michael Cooper,SG,1.9558,77.1107029,24,LAL,81,2,United States,NBA 1980-1981 Players Information
Wayne Cooper,FC,2.0827999999999998,99.79032140000001,24,UTA,71,2,United States,NBA 1980-1981 Players Information
Dave Corzine,C,2.1082,113.3980925,24,SAS,82,2,United States,NBA 1980-1981 Players Information
Charlie Criss,G,1.7271999999999998,74.84274105,32,ATL,66,3,United States,NBA 1980-1981 Players Information
Geff Crompton,C,2.1082,127.00586360000001,25,POR,6,1,United States,NBA 1980-1981 Players Information
Pat Cummings,FC,2.0574,104.32624510000001,24,MIL,74,2,United States,NBA 1980-1981 Players Information
Earl Cureton,PF,2.0574,95.2543977,23,PHI,52,0,United States,NBA 1980-1981 Players Information
Bob Dandridge,SF,1.9811999999999999,88.45051215000001,33,WAS,23,11,United States,NBA 1980-1981 Players Information
Adrian Dantley,SF,1.9558,94.34721296000001,25,UTA,80,4,United States,NBA 1980-1981 Players Information
Brad Davis,G,1.905,81.6466266,25,DAL,56,3,United States,NBA 1980-1981 Players Information
Johnny Davis,G,1.8796,77.1107029,25,IND,76,4,United States,NBA 1980-1981 Players Information
Monti Davis,F,2.0065999999999997,92.98643585,22,"DAL, PHL",2,0,United States,NBA 1980-1981 Players Information
Ron Davis,SF,1.9811999999999999,89.81128926000001,26,SDC,64,3,United States,NBA 1980-1981 Players Information
Walter Davis,GF,1.9811999999999999,87.54332741,26,PHX,78,3,United States,NBA 1980-1981 Players Information
Darryl Dawkins,C,2.1082,113.85168487,24,PHI,76,5,United States,NBA 1980-1981 Players Information
Larry Demic,PF,2.0574,102.05828325,23,NYK,76,1,United States,NBA 1980-1981 Players Information
Coby Dietrick,FC,2.0827999999999998,99.79032140000001,32,CHI,82,4,United States,NBA 1980-1981 Players Information
James Donaldson,C,2.1844,124.73790175,23,SEA,67,0,England,NBA 1980-1981 Players Information
Jacky Dorsey,SF,2.0065999999999997,104.32624510000001,26,SEA,29,3,United States,NBA 1980-1981 Players Information
Leon Douglas,C,2.0827999999999998,104.32624510000001,26,KCK,79,4,United States,NBA 1980-1981 Players Information
John Drew,GF,1.9811999999999999,92.98643585,26,ATL,67,6,United States,NBA 1980-1981 Players Information
Larry Drew,G,1.8541999999999998,77.1107029,22,DET,76,0,United States,NBA 1980-1981 Players Information
