#,Player,Pos,HT,WT,Age,Teams,YOS,Pre-Draft Team,Draft Status,Nationality,Title
12,Ish Wainright,GF,6-5,250,29,Phoenix Suns,2,Baylor,"2017 NBA Draft, Undrafted",United StatesUganda,NBA 2023-2024 Players Information
34,Jabari Walker,F,6-7,227,21,Portland Trail Blazers,1,Colorado,2022 Rnd 2 Pick 27,United States,NBA 2023-2024 Players Information
5,Jarace Walker,G,6-7,235,20,Indiana Pacers,0,Houston,2023 Rnd 1 Pick 8,United States,NBA 2023-2024 Players Information
8,Lonnie Walker,SG,6-4,204,25,Brooklyn Nets,5,Miami (FL),2018 Rnd 1 Pick 18,United States,NBA 2023-2024 Players Information
22,Cason Wallace,G,6-3,195,20,Oklahoma City Thunder,0,Kentucky,2023 Rnd 1 Pick 10,United States,NBA 2023-2024 Players Information
27,Jordan Walsh,F,6-6,205,20,Boston Celtics,0,Arkansas,2023 Rnd 2 Pick 8,United States,NBA 2023-2024 Players Information
44,"Duane Washington, Jr.",G,6-2,197,24,New York Knicks,2,Ohio State,"2021 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
23,"TyTy Washington, Jr.",PG,6-3,195,22,Milwaukee Bucks,1,Kentucky,2022 Rnd 1 Pick 29,United States,NBA 2023-2024 Players Information
25,P.J. Washington,PF,6-7,230,25,Dallas Mavericks,4,Kentucky,2019 Rnd 1 Pick 12,United States,NBA 2023-2024 Players Information
18,Yuta Watanabe,F,6-9,215,29,Memphis Grizzlies,5,George Washington,"2018 NBA Draft, Undrafted",Japan,NBA 2023-2024 Players Information
12,Lindy Waters III,SG,6-6,210,26,Oklahoma City Thunder,2,Oklahoma State,"2020 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
9,Trendon Watford,SF,6-8,237,23,Brooklyn Nets,2,LSU,"2021 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
8,Peyton Watson,GF,6-7,200,21,Denver Nuggets,1,UCLA,2022 Rnd 1 Pick 30,United States,NBA 2023-2024 Players Information
1,Victor Wembanyama,F,7-4,210,20,San Antonio Spurs,0,Boulogne-Levallois (France),2023 Rnd 1 Pick 1,France,NBA 2023-2024 Players Information
14,Blake Wesley,SG,6-3,185,21,San Antonio Spurs,1,Notre Dame,2022 Rnd 1 Pick 25,United States,NBA 2023-2024 Players Information
0,Russell Westbrook,G,6-4,200,35,Los Angeles Clippers,15,UCLA,2008 Rnd 1 Pick 4,United States,NBA 2023-2024 Players Information
0,Coby White,PG,6-5,195,24,Chicago Bulls,4,North Carolina,2019 Rnd 1 Pick 7,United States,NBA 2023-2024 Players Information
9,Derrick White,G,6-4,190,29,Boston Celtics,6,Colorado,2017 Rnd 1 Pick 29,United States,NBA 2023-2024 Players Information
0,Dariq Whitehead,F,6-6,220,19,Brooklyn Nets,0,Duke,2023 Rnd 1 Pick 22,United States,NBA 2023-2024 Players Information
7,Cam Whitmore,F,6-7,230,19,Houston Rockets,0,Villanova,2023 Rnd 1 Pick 20,United States,NBA 2023-2024 Players Information
21,Aaron Wiggins,F,6-5,190,25,Oklahoma City Thunder,2,Maryland,2021 Rnd 2 Pick 25,United States,NBA 2023-2024 Players Information
22,Andrew Wiggins,F,6-7,197,29,Golden State Warriors,9,Kansas,2014 Rnd 1 Pick 1,Canada,NBA 2023-2024 Players Information
15,Alondes Williams,G,6-4,210,24,Miami Heat,1,Wake Forest,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
00,Brandon Williams,PG,6-1,190,24,Dallas Mavericks,1,Arizona,"2021 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
2,Grant Williams,SF,6-6,236,25,Charlotte Hornets,4,Tennessee,2019 Rnd 1 Pick 22,United States,NBA 2023-2024 Players Information
8,Jalen Williams,G,6-5,211,22,Oklahoma City Thunder,1,Santa Clara,2022 Rnd 1 Pick 12,United States,NBA 2023-2024 Players Information
6,Jaylin Williams,C,6-9,240,21,Oklahoma City Thunder,1,Arkansas,2022 Rnd 2 Pick 4,United States,NBA 2023-2024 Players Information
19,"Nate Williams, Jr.",SG,6-5,205,25,Houston Rockets,1,Buffalo,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
5,"Vincent Williams, Jr.",SF,6-4,205,23,Memphis Grizzlies,1,VCU,2022 Rnd 2 Pick 17,United States,NBA 2023-2024 Players Information
34,Kenrich Williams,SF,6-6,210,29,Oklahoma City Thunder,5,TCU,"2018 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
5,Mark Williams,C,7-0,240,22,Charlotte Hornets,1,Duke,2022 Rnd 1 Pick 15,United States,NBA 2023-2024 Players Information
44,Patrick Williams,G,6-7,215,22,Chicago Bulls,3,Florida State,2020 Rnd 1 Pick 4,United States,NBA 2023-2024 Players Information
35,Robert Williams,PF,6-9,249,26,Portland Trail Blazers,5,Texas A&M,2018 Rnd 1 Pick 27,United States,NBA 2023-2024 Players Information
8,Ziaire Williams,F,6-9,185,22,Memphis Grizzlies,2,Stanford,2021 Rnd 1 Pick 10,United States,NBA 2023-2024 Players Information
1,Zion Williamson,PF,6-6,284,23,New Orleans Pelicans,4,Duke,2019 Rnd 1 Pick 1,United States,NBA 2023-2024 Players Information
20,D.J. Wilson,F,6-10,231,28,Philadelphia Sixers,5,Michigan,2017 Rnd 1 Pick 17,United States,NBA 2023-2024 Players Information
22,Jalen Wilson,F,6-6,220,23,Brooklyn Nets,0,Kansas,2023 Rnd 2 Pick 21,United States,NBA 2023-2024 Players Information
20,Dylan Windler,SF,6-7,196,27,Atlanta Hawks,4,Belmont,2019 Rnd 1 Pick 26,United States,NBA 2023-2024 Players Information
13,James Wiseman,C,6-11,240,22,Detroit Pistons,3,Memphis,2020 Rnd 1 Pick 2,United States,NBA 2023-2024 Players Information
21,Isaiah Wong,G,6-3,185,23,Indiana Pacers,0,Miami (FL),2023 Rnd 2 Pick 25,United States,NBA 2023-2024 Players Information
35,Christian Wood,PF,6-8,214,28,Los Angeles Lakers,7,UNLV,"2015 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
4,Delon Wright,G,6-5,185,31,Miami Heat,8,Utah,2015 Rnd 1 Pick 20,United States,NBA 2023-2024 Players Information
30,Thaddeus Young,F,6-8,225,35,Phoenix Suns,16,Georgia Tech,2007 Rnd 1 Pick 12,United States,NBA 2023-2024 Players Information
11,Trae Young,PG,6-1,164,25,Atlanta Hawks,5,Oklahoma,2018 Rnd 1 Pick 5,United States,NBA 2023-2024 Players Information
77,Omer Yurtseven,C,6-11,275,25,Utah Jazz,3,Georgetown,"2020 NBA Draft, Undrafted",UzbekistanTurkey,NBA 2023-2024 Players Information
40,Cody Zeller,F,6-11,240,31,New Orleans Pelicans,10,Indiana,2013 Rnd 1 Pick 4,United States,NBA 2023-2024 Players Information
40,Ivica Zubac,C,7-0,240,27,Los Angeles Clippers,7,KK Mega Bemax (Serbia),2016 Rnd 2 Pick 2,Bosnia and HerzegovinaCroatia,NBA 2023-2024 Players Information
