Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Donnie Butcher,G,6-2,200,29,DET,70,3,Pikeville,1961 Rnd 7 Pick 1,United States,NBA 1964-1965 Players Information
Al Butler,G,6-2,175,26,WAS,22,3,Niagara,1961 Rnd 2 Pick 8,United States,NBA 1964-1965 Players Information
Joe Caldwell,GF,6-5,195,23,DET,66,0,Arizona State,1964 Rnd 1 Pick 2,United States,NBA 1964-1965 Players Information
Wilt Chamberlain,C,7-1,265,28,"GOS, PHL",73,5,Kansas,"1959 NBA Draft, Undrafted",United States,NBA 1964-1965 Players Information
Len Chappell,PF,6-8,240,24,NYK,42,2,Wake Forest,1962 Rnd 1 Pick 4,United States,NBA 1964-1965 Players Information
Larry Costello,PG,6-1,186,33,PHI,64,9,Niagara,1954 Rnd 2 Pick 3,United States,NBA 1964-1965 Players Information
Mel Counts,FC,7-0,230,23,BOS,52,0,Oregon State,1964 Rnd 1 Pick 7,United States,NBA 1964-1965 Players Information
Steve Courtin,G,6-1,188,22,PHI,24,0,Saint Joseph's,1964 Rnd 3 Pick 8,United States,NBA 1964-1965 Players Information
Dave DeBusschere,F,6-6,220,24,DET,79,2,Detroit-Mercy,"1962 NBA Draft, Undrafted",United States,NBA 1964-1965 Players Information
Connie Dierking,C,6-9,222,28,"GOS, PHL",65,3,Cincinnati,1958 Rnd 1 Pick 5,United States,NBA 1964-1965 Players Information
Terry Dischinger,GF,6-7,189,24,DET,80,2,Purdue,1962 Rnd 2 Pick 1,United States,NBA 1964-1965 Players Information
